g,river,region_id,region_name,flower_png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
1,CHETICAMP_RIVER,1,CHETICAMP_RIVER,tempdata/flower_CHETICAMP_RIVER.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
2,WRECK_COVE,2,WRECK_COVE,tempdata/flower_WRECK_COVE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
3,MARGAREE,3,MARGAREE,tempdata/flower_MARGAREE.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
4,INDIAN,4,INDIAN,tempdata/flower_INDIAN.png
5,NORTH_BADDECK.MIDDLE,5,NORTH_BADDECK.MIDDLE,tempdata/flower_NORTH_BADDECK.MIDDLE.png
5,NORTH_BADDECK.MIDDLE,5,NORTH_BADDECK.MIDDLE,tempdata/flower_NORTH_BADDECK.MIDDLE.png
5,NORTH_BADDECK.MIDDLE,5,NORTH_BADDECK.MIDDLE,tempdata/flower_NORTH_BADDECK.MIDDLE.png
5,NORTH_BADDECK.MIDDLE,5,NORTH_BADDECK.MIDDLE,tempdata/flower_NORTH_BADDECK.MIDDLE.png
5,NORTH_BADDECK.MIDDLE,5,NORTH_BADDECK.MIDDLE,tempdata/flower_NORTH_BADDECK.MIDDLE.png
5,NORTH_BADDECK.MIDDLE,5,NORTH_BADDECK.MIDDLE,tempdata/flower_NORTH_BADDECK.MIDDLE.png
5,NORTH_BADDECK.MIDDLE,5,NORTH_BADDECK.MIDDLE,tempdata/flower_NORTH_BADDECK.MIDDLE.png
