"","scientificName","eventDate","author","provenance","url","geometry"
"2911","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-231213.70586188, -172113.663504846)
"2912","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(14660.522487295, 83880.8263022616)
"2913","Botrylloides violaceus","2018-10-05","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(-111480.137008142, 104113.06720918)
"2914","Codium fragile subsp. fragile",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-57657.5764003878, 95109.7406996214)
"2915","Carcinus maenas","2022-08-05T00:00:00Z",NA,"OBIS","https://obis.org/dataset/a9624ba0-d7cc-4e60-bfd9-ce40817fdbc6",c(-223883.474173877, -5211.73828189442)
"2916","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(184036.402271735, 34174.1579074558)
"2917","Carcinus maenas","2010-10-05","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(43572.01382171, 80504.8217292562)
"2918","Carcinus maenas","2006-07-17","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(31851.7421417782, 42621.5970806466)
"2919","Carcinus maenas","2011-09-29","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(126890.809220538, 88606.9650777105)
"2920","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(128204.303364148, 88198.1888605026)
"2921","Carcinus maenas","2009-08-17","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(14227.0168794436, 84572.4354429291)
"2922","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(40249.9411190087, 99895.6760788223)
"2923","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(76056.584565773, 120736.039580376)
"2924","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(40761.3106032184, 99346.6988037501)
"2925","Carcinus maenas","2010-09-28","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-48589.9607074968, 117741.629217047)
"2926","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43192.1323126882, 97710.6340907893)
"2927","Carcinus maenas","2005-08-23","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(75621.2560694099, 121042.468877622)
"2928","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(35384.5649522458, 36084.0958014155)
"2929","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(76210.1199279252, 120947.990230803)
"2930","Carcinus maenas","2005-08-16","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(128201.927746704, 88302.282672237)
"2931","Botryllus schlosseri","2018-10-02","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(-16233.0410424773, 128509.005033652)
"2932","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-231147.67976966, -170261.509227286)
"2933","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(93620.5969495251, 43409.5621541703)
"2934","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(14660.522487295, 83880.8263022616)
"2935","Carcinus maenas","2009-06-25","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-48817.3738597603, 62527.6577350617)
"2936","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-220793.987662483, -171376.091751633)
"2937","Carcinus maenas","2011-07-19","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-113682.769977434, 109167.880450721)
"2938","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-93453.5160958225, -100303.479956246)
"2939","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-30826.3831897752, 131587.592298968)
"2940","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(128204.303364148, 88198.1888605026)
"2941","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(13264.7910242997, 84279.9541188548)
"2942","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-45363.5602407553, 105015.132600091)
"2943","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(44046.0036991449, 91264.5857811158)
"2944","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-40569.7644560087, -68541.5076827623)
"2945","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(131118.1855508, 87264.1221023003)
"2946","Botryllus schlosseri","2018-10-04","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(32170.9409666829, 48859.7587717335)
"2947","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-101411.871538105, -93869.401231994)
"2948","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(201084.001576874, 181452.834554042)
"2949","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-48384.1452528162, 136473.812255054)
"2950","Carcinus maenas","2009-05-26","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-6856.72355710263, 51218.3008840843)
"2951","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(133312.121763262, 36445.3877875611)
"2952","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(34419.5681882674, 125621.559086939)
"2953","Carcinus maenas","2010-08-23","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(28899.2679106347, 37909.6957463902)
"2954","Carcinus maenas","2006-08-18","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(90690.5996318706, 38059.204216483)
"2955","Carcinus maenas","2008-06-22","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(63119.0641652251, 117813.253250127)
"2956","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(38220.4399760969, 97130.2177964031)
"2957","Carcinus maenas","2014-09-25","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(75804.3877860773, 121249.880794227)
"2958","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(162642.81016569, 25494.9024700056)
"2959","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(128204.303364148, 88198.1888605026)
"2960","Botryllus schlosseri","2018-10-04","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(32170.3341334255, 48826.4227733088)
"2961","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(76056.584565773, 120736.039580376)
"2962","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(194860.219240135, 75894.5408891166)
"2963","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(166775.874006194, 34288.886497239)
"2964","Carcinus maenas","2004-09-30","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(90690.5996318706, 38059.204216483)
"2965","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(128204.303364148, 88198.1888605026)
"2966","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-90377.6398528953, -83955.0907416674)
"2967","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(93620.5969495251, 43409.5621541703)
"2968","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(135072.582741003, 133672.364148892)
"2969","Botrylloides violaceus","2018-10-05","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(-52296.7286919746, 92936.4691270021)
"2970","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(40649.7938726088, 99759.367705611)
"2971","Carcinus maenas","2010-06-22","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(127158.595377014, 87756.6168600355)
"2972","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(158172.661159152, 146801.780769041)
"2973","Carcinus maenas","2011-06-06","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-82168.7404706726, 97562.437738123)
"2974","Carcinus maenas","2010-06-28","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(34831.9623197873, 36059.8951839206)
"2975","Carcinus maenas","2007-09-27","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(27936.49196822, 41817.4045220471)
"2976","Ciona intestinalis","2018-09-27","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(91656.6952763445, 62722.2982242594)
"2977","Carcinus maenas","2008-07-28","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(95690.9174247968, 43297.4708621779)
"2978","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(163698.17677758, 79197.3322865909)
"2979","Carcinus maenas","2009-08-27","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(91897.0354608452, 38447.1070536435)
"2980","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(39125.0515293288, 97530.3486134238)
"2981","Carcinus maenas","2005-08-23","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(75804.3877860773, 121249.880794227)
"2982","Carcinus maenas","2008-10-03","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-24848.3270013542, 99647.0760178257)
"2983","Carcinus maenas","2006-05-23","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(128201.927746704, 88302.282672237)
"2984","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(159489.158078288, 149262.894451932)
"2985","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-34102.4135586706, 103889.552936277)
"2986","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-9096.67258346491, 94325.7146559583)
"2987","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(40247.6405573997, 99893.438598562)
"2988","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43854.816197038, 96458.4143001472)
"2989","Ostrea edulis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(223063.094502598, 95889.6858456951)
"2990","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(7836.95954778089, 120585.178570294)
"2991","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-210370.845982473, -70951.3894917865)
"2992","Carcinus maenas","2004-05-27","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(76203.7606960495, 121008.485795009)
"2993","Carcinus maenas","2008-05-30","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(90690.5996318706, 38059.204216483)
"2994","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(10928.9012994361, 89359.223395632)
"2995","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(13267.1165314031, 84277.7366610017)
"2996","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43654.678019604, 81710.7371953167)
"2997","Ascidiella aspersa",NA,"Huntsman Marine Science Centre - Atlantic Reference Centre (ARC)","OBIS","https://obis.org/dataset/ac2d9d3a-7d85-4b76-b68c-519559d59c63",c(-213322.130794902, -31982.2999741354)
"2998","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(95700.5680154399, 43226.5017787849)
"2999","Codium fragile subsp. fragile",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-138087.977696167, 171816.161360262)
"3000","Carcinus maenas","2010-06-03","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(62602.0394880522, 118947.199942379)
"3001","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(210338.167335164, 156937.531831034)
"3002","Carcinus maenas","2011-06-01","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-1054.61811270697, 102161.978852289)
"3003","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(75804.1584462777, 121249.766842191)
"3004","Carcinus maenas","2008-05","St. Francis Xavier University","OBIS","https://obis.org/dataset/51122f08-680a-48a4-9c4f-77033e5e9532",c(137075.985549948, -11532.0471215365)
"3005","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(219921.689532102, 104647.790527966)
"3006","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(166775.874006194, 34288.886497239)
"3007","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(173368.778712301, 42520.0523477585)
"3008","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-89328.1746612283, -102695.482844344)
"3009","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43295.455421956, 98060.2962118549)
"3010","Carcinus maenas","2009-07-09","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-51547.2754604458, 121232.966190294)
"3011","Carcinus maenas","2010-09-09","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(14910.9628918689, 84296.2334784741)
"3012","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(44148.5853326795, 83331.0459902476)
"3013","Carcinus maenas","2007-06-25","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(76139.4854101581, 120756.175077615)
"3014","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(49124.4118516847, 93738.507924751)
"3015","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-96023.9989538544, -93045.7754733673)
"3016","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(173368.778712301, 42520.0523477585)
"3017","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(14705.5506581009, 84469.8711732079)
"3018","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-213322.927640007, -186422.191150456)
"3019","Carcinus maenas","2009-05-28","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(14227.0168794436, 84572.4354429291)
"3020","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(28879.9375484771, 37876.2748774242)
"3021","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(37619.4293047802, 103946.535844693)
"3022","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-97082.6559575242, -91119.8934871902)
"3023","Carcinus maenas","2011-08-15","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(76139.4854101581, 120756.175077615)
"3024","Carcinus maenas","2005-08-16","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(126890.809220538, 88606.9650777105)
"3025","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(30391.4790787456, 125878.315784539)
"3026","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(14910.9636897925, 84295.9001186631)
"3027","Carcinus maenas","2005-07-15","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(91897.0354608452, 38447.1070536435)
"3028","Carcinus maenas","2004-07-21","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(128201.927746704, 88302.282672237)
"3029","Carcinus maenas","2008-09-18","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(62602.0394880522, 118947.199942379)
"3030","Carcinus maenas","2008-08-18","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(63179.8128290672, 119250.923777119)
"3031","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43886.2383706648, 82129.0711699997)
"3032","Botryllus schlosseri","2018-10-02","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(-52731.247770174, 121204.813554677)
"3033","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(75660.6958641198, 121031.280431528)
"3034","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(173368.778712301, 42520.0523477585)
"3035","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(42020.8404544868, 81027.2210471344)
"3036","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(95700.5680154399, 43226.5017787849)
"3037","Carcinus maenas","2011-08-17","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(43801.8353392656, 96098.6534274036)
"3038","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-95569.1475755543, -101508.931909663)
"3039","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(133312.121763262, 36445.3877875611)
"3040","Carcinus maenas","2006-06-30","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(76139.4854101581, 120756.175077615)
"3041","Carcinus maenas","2007-09-11","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(42992.1215376913, 98335.0119857857)
"3042","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(13267.1165314031, 84277.7366610017)
"3043","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(173368.778712301, 42520.0523477585)
"3044","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-45363.5602407553, 105015.132600091)
"3045","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(14709.431616307, 84464.3243044792)
"3046","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(223559.044095078, 97105.0714018536)
"3047","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-96161.5895002319, -102013.396373015)
"3048","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-161807.371376823, -175794.453843031)
"3049","Botryllus schlosseri","2018-09-20","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(65598.1165027915, 116752.047235408)
"3050","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43801.7549956402, 96099.0973724198)
"3051","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(131118.1855508, 87264.1221023003)
"3052","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43493.8890168592, 81239.5676803878)
"3053","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(13264.7910242997, 84279.9541188548)
"3054","Carcinus maenas","2022-08-04T00:00:00Z",NA,"OBIS","https://obis.org/dataset/a9624ba0-d7cc-4e60-bfd9-ce40817fdbc6",c(-245988.606196001, -11093.9627881871)
