"","scientificName","eventDate","author","provenance","url","geometry"
"25","Carcinus maenas","2010-08-24","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(-18588.5683167032, 50693.9211752592)
"26","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43854.816197038, 96458.4143001472)
"27","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-110087.997409449, 105450.879248214)
"28","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(129201.685875444, 86723.9088030697)
"29","Carcinus maenas","2007-09-12","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(44147.8068994188, 83331.7072101329)
"30","Carcinus maenas","2010-06-28","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(28899.2679106347, 37909.6957463902)
"31","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-96023.9989538544, -93045.7754733673)
"32","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(181825.714793529, 91531.1797825549)
"33","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-248406.679093327, -8330.00497489719)
"34","Carcinus maenas","1973-06-18/26","DFO: St. Andrews Biological Station (SABS)","OBIS","https://obis.org/dataset/6b51a9ea-acc0-4e18-b0bf-4db7631fb32e",c(-247115.348360697, -287.762507514726)
"35","Carcinus maenas","2008-08-12","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(14227.0168794436, 84572.4354429291)
"36","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(75660.6958641198, 121031.280431528)
