"","river","g","value_No.Pet.Stores","value_No.Garden.Centtres","value_BoatLaunch","value_RecFishproportion","norm_No.Pet.Stores","norm_No.Garden.Centtres","norm_BoatLaunch","norm_RecFishproportion","CDV_PetStore","132","CDV_WaterGarden_Nurseries","CDV_RecFishing","CDV_UncleanedGear","190","PIV_PetSore","PIV_WaterGarden_Nurseries","PIV_RecFishing","PIV_UncleanedGear","SI_f_PetStore","SI_f_WaterGarden_Nurseries","SI_f_RecFishing","SI_f_UncleanedGear","TP_PetStore","TP_WaterGarden_Nurserie","TP_RecFishing","TP_UncleanedGear","TV_f_PetStore","TV_f_WaterGarden_Nurseries","TV_f_RecFishing","TV_f_UncleanedGear","RV_PetStore","RV_WaterGarden_Nurserie","RV_RecFishing","RV_UncleanedGear"
"12","PHILIP_WALLACE",12,0,1,0,2,0,0.125,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0.0769230769230769,0.230769230769231,0,0.638,0.236974358974359,0.627589743589744,0.666666666666667
"13","GRAND",13,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"14","KELLY_MACCAN.HEBERT",14,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"15","RIVER_JOHN",15,0,0,0,3,0,0,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.461538461538462,0,0.638,0.211333333333333,0.70451282051282,0.666666666666667
"16","GRAND_1",16,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"17","PARRSBORO",17,0,0,0,1,0,0,0,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,0,0.638,0.211333333333333,0.550666666666667,0.666666666666667
"18","ISLE_MADAME",18,0,0,1,1,0,0,0.5,0,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0,1,0.638,0.211333333333333,0.550666666666667,1
"19","SALMON_DEBERT",19,2,1,0,3,0.2,0.125,0,0.5,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0307692307692308,0.0769230769230769,0.461538461538462,0,0.64825641025641,0.236974358974359,0.70451282051282,0.666666666666667
"20","ECONOMY",20,0,0,0,2,0,0,0,0.25,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0,0,0.230769230769231,0,0.638,0.211333333333333,0.627589743589744,0.666666666666667
"21","SHUBENACADIE_STEWIACKE",21,3,1,1,4,0.3,0.125,0.5,0.75,1,132,90,672,1,190,805,552,999,834,0.957,0.317,0.826,1,1,4,6,13,0.0461538461538461,0.0769230769230769,0.692307692307692,1,0.653384615384615,0.236974358974359,0.781435897435897,1
