COUNTY,NAME,EASTING,NORTHING,CAPTURE DATE,SPECIES COMMON NAME,CAPTURE METHOD NAME,ORIGIN
Annapolis,PRETTY MARY,328235,4926280,08/01/1982,American Eel,visual observation,Natural Occurrence
Annapolis,PRETTY MARY,328235,4926280,08/01/1982,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PRETTY MARY,328235,4926280,08/01/1982,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,PRETTY MARY,328235,4926280,08/01/1982,Banded Killifish,seine net,Natural Occurrence
Annapolis,QUILTY,338756,4954440,06/25/1975,Yellow Perch,angler report,Natural Occurrence
Annapolis,QUILTY,338756,4954440,06/25/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,RAMSEY,320483,4973860,09/10/1981,Banded Killifish,visual observation,Natural Occurrence
Annapolis,RAMSEY,320483,4973860,09/25/1961,Banded Killifish,visual observation,Natural Occurrence
Annapolis,ROUND,341582,4929480,07/17/1990,Yellow Perch,seine net,Natural Occurrence
Annapolis,ROUND,341582,4929480,07/17/1990,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,ROUND,341582,4929480,07/17/1990,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,ROUND,341582,4929480,07/17/1990,Banded Killifish,seine net,Natural Occurrence
Annapolis,RUMSEY,320483,4973860,02/06/2015,Brown Bullhead,angler report,Unknown
Annapolis,RUMSEY,320483,4973860,06/05/2014,Brook Trout,angler report,Stocking Program
Annapolis,RUMSEY,320483,4973860,06/05/2013,Rainbow Trout,angler report,Stocking Program
Annapolis,SANDY BOTTOM,306629,4939770,07/21/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,SANDY BOTTOM,306629,4939770,07/21/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,SANDY BOTTOM,306629,4939770,07/21/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,SANDY BOTTOM,306629,4939770,07/21/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,SECOND,302987,4950970,09/23/1998,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,SECOND,302987,4950970,09/23/1998,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,SHANNON,341278,4956370,06/10/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,SHANNON,341278,4956370,06/10/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,SHANNON,341278,4956370,06/10/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,SHANNON,341278,4956370,06/10/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,SHANNON,341278,4956370,06/10/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,SHANNON,341278,4956370,06/10/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,SIMPSONS,300402,4937990,07/04/1945,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,SIMPSONS,300402,4937990,07/04/1945,Lake Chub,100 ft gill net,Natural Occurrence
Annapolis,SIMPSONS,300402,4937990,07/04/1945,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,SIMPSONS,300402,4937990,07/04/1945,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,SPECTACLE 1,329509,4953060,08/01/1968,Three Spine Stickleback,minnow pail,Natural Occurrence
Annapolis,SPECTACLE 1,329509,4953060,08/01/1968,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,SPECTACLE 2,329509,4953060,08/01/1968,Three Spine Stickleback,minnow pail,Natural Occurrence
Annapolis,SPECTACLE 2,329509,4953060,08/01/1968,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,SPRINGFIELD,352595,4944240,06/17/1975,White Perch,unknown,Natural Occurrence
Annapolis,SPRINGFIELD,352595,4944240,06/17/1975,Yellow Perch,unknown,Natural Occurrence
Annapolis,SPRINGFIELD,352595,4944240,06/17/1975,Brown Bullhead,unknown,Natural Occurrence
Annapolis,SPRINGFIELD,352595,4944240,06/17/1975,White Sucker,unknown,Natural Occurrence
Annapolis,SPRINGFIELD,352595,4944240,06/17/1975,Creek Chub,seine net,Natural Occurrence
Annapolis,SPRINGFIELD,352595,4944240,06/17/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,SPRINGFIELD,352595,4944240,06/17/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,SUNDOWN,308482,4934780,08/07/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,SUNDOWN,308482,4934780,08/07/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,SUNDOWN,308482,4934780,08/07/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,SUNDOWN,308482,4934780,08/07/1975,American Eel,unknown,Natural Occurrence
Annapolis,SUNDOWN,308482,4934780,08/07/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,SUNDOWN,308482,4934780,08/07/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,TOMMY,341900,4938430,06/23/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,TOMMY,341900,4938430,06/23/1975,American Eel,unknown,Natural Occurrence
Annapolis,TOMMY,341900,4938430,06/23/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,TOMMY,341900,4938430,06/23/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,TOMMY,341900,4938430,06/23/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,TROUT,336249,4960010,06/05/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,TROUT,336249,4960010,06/05/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,TROUT,336249,4960010,06/05/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,TROUT,336249,4960010,06/05/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,TROUT,336249,4960010,06/05/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,TROUT,336249,4960010,06/05/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,TWIN,321696,4927780,07/06/1989,Yellow Perch,300 ft gill net,Natural Occurrence
Annapolis,TWIN,321696,4927780,07/06/1989,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,TWIN,321696,4927780,07/06/1989,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,UPPER,298751,4930120,08/13/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,UPPER,298751,4930120,08/13/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,UPPER,298751,4930120,08/13/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,UPPER,298751,4930120,08/13/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,UPPER MINK,304746,4936180,08/08/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,UPPER MINK,304746,4936180,08/08/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,UPPER MINK,304746,4936180,08/08/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,UPPER MINK,304746,4936180,08/08/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,UPPER MINK,304746,4936180,08/08/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,UPPER MINK,304746,4936180,08/08/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,UPPER WRIGHTS,312448,4956250,08/16/1983,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,UPPER WRIGHTS,312448,4956250,08/16/1983,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,UPPER WRIGHTS,312448,4956250,08/16/1983,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,UPPER WRIGHTS,312448,4956250,08/16/1983,American Eel,unknown,Natural Occurrence
Annapolis,UPPER WRIGHTS,312448,4956250,08/16/1983,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,UPPER WRIGHTS,312448,4956250,08/16/1983,Common Shiner,100 ft gill net,Natural Occurrence
Annapolis,UPPER WRIGHTS,312448,4956250,08/16/1983,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,VIEW,313621,4933090,08/20/1975,Brook Trout,unknown,Natural Occurrence
Annapolis,VIEW,313621,4933090,08/20/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,VIEW,313621,4933090,08/20/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,VIEW,313621,4933090,08/20/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,VIEW,313621,4933090,08/20/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,VIEW,313621,4933090,08/20/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,VIEW,313621,4933090,08/20/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,WAMBOLDT,338560,4968500,07/18/1989,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,WATERLOO,343477,4954940,01/01/2000,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,WATERLOO,343477,4954940,06/16/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,WATERLOO,343477,4954940,06/16/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,WATERLOO,343477,4954940,06/16/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,WATERLOO,343477,4954940,06/16/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,WATERLOO,343477,4954940,06/16/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,WILD DUCK,346981,4941950,06/19/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,WILD DUCK,346981,4941950,06/19/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,WILD DUCK,346981,4941950,06/19/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,WILD DUCK,346981,4941950,06/19/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,WILD DUCK,346981,4941950,06/19/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,YOUNG,307044,4965760,01/01/1992,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,YOUNG,307044,4965760,07/15/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,YOUNG,307044,4965760,07/15/1975,Banded Killifish,angler report,Natural Occurrence
Annapolis,ZWICKERS,338784,4955340,08/17/1983,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,ZWICKERS,338784,4955340,08/17/1983,White Perch,300 ft gill net,Natural Occurrence
