COUNTY,NAME,EASTING,NORTHING,CAPTURE DATE,SPECIES COMMON NAME,CAPTURE METHOD NAME,ORIGIN
Annapolis,ALMA,332331,4942630,06/06/1984,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,ALMA,332331,4942630,06/06/1984,White Perch,100 ft gill net,Natural Occurrence
Annapolis,ALMA,332331,4942630,06/06/1984,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,ALMA,332331,4942630,06/06/1984,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,ALMA,332331,4942630,06/06/1984,American Eel,100 ft gill net,Natural Occurrence
Annapolis,ALMA,332331,4942630,06/06/1984,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,ALMA,332331,4942630,06/06/1984,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,BAILLE,303209,4941270,07/26/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,BAILLE,303209,4941270,07/26/1975,American Eel,visual observation,Natural Occurrence
Annapolis,BAILLE,303209,4941270,07/26/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,BAILLE,303209,4941270,07/26/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,BAILLE,303209,4941270,07/26/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,BEELERS,300294,4947390,07/27/1975,White Perch,unknown,Natural Occurrence
Annapolis,BEELERS,300294,4947390,07/27/1975,Brown Bullhead,unknown,Natural Occurrence
Annapolis,BEELERS,300294,4947390,07/27/1975,American Eel,unknown,Natural Occurrence
Annapolis,BEELERS,300294,4947390,07/27/1975,White Sucker,unknown,Natural Occurrence
Annapolis,BEELERS,300294,4947390,07/27/1975,Golden Shiner,unknown,Natural Occurrence
Annapolis,BEELERS,300294,4947390,07/27/1975,Banded Killifish,unknown,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,337860,4947830,01/01/2000,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,BIG MOLLY UPSIM,337860,4947830,07/07/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,337860,4947830,07/07/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,337860,4947830,07/07/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,BIG MOLLY UPSIM,337860,4947830,07/07/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,BOOT,310758,4938150,07/22/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,BOOT,310758,4938150,07/22/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,BOOT,310758,4938150,07/22/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,BOOT,310758,4938150,07/22/1975,Creek Chub,seine net,Natural Occurrence
Annapolis,BOOT,310758,4938150,07/22/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,BOOT,310758,4938150,07/22/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,CADY,301512,4942940,07/24/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,CADY,301512,4942940,07/24/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,CADY,301512,4942940,07/24/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,CADY,301512,4942940,07/24/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,CONNELL,337969,4954260,06/12/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,337969,4954260,06/12/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,337969,4954260,06/12/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,337969,4954260,06/12/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,337969,4954260,06/12/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,337969,4954260,06/12/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,CONNELL,337969,4954260,06/12/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,CROSKILL,317300,4971630,07/16/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,CROSKILL,317300,4971630,07/16/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,318171,4933370,08/23/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,318171,4933370,08/23/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,318171,4933370,08/23/1975,Lake Whitefish,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,318171,4933370,08/23/1975,American Eel,unknown,Natural Occurrence
Annapolis,ELEVEN MILE,318171,4933370,08/23/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,318171,4933370,08/23/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,ELEVEN MILE,318171,4933370,08/23/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,ELLIOT,327739,4978710,09/04/2003,Tiger Trout,unknown,Legal Introduction
Annapolis,ELLIOT,327739,4978710,09/04/2003,Smallmouth Bass,100 ft gill net,Illegal Introduction
Annapolis,ELLIOT,327739,4978710,09/15/1986,Brown Trout,unknown,Legal Introduction
Annapolis,ELLIOT,327739,4978710,09/15/1986,Smallmouth Bass,100 ft gill net,Illegal Introduction
Annapolis,ELLIOT,327739,4978710,01/01/1950,Smallmouth Bass,unknown,Legal Introduction
Annapolis,FED,295227,4940320,08/15/1983,Nine Spine Stickleback,100 ft gill net,Natural Occurrence
Annapolis,FED,295227,4940320,08/15/1983,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,FED,295227,4940320,08/04/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,FISHER,314005,4935440,08/21/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,FISHER,314005,4935440,08/21/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,FISHER,314005,4935440,08/21/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,FISHER,314005,4935440,08/21/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,FISHER,314005,4935440,08/21/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,FISHER,314005,4935440,08/21/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,Striped Bass,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,American Eel,visual observation,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,GIBONS,317443,4953990,08/18/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,GRAND,304050,4946330,01/01/1993,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,GRAND,304050,4946330,08/25/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,GRAND,304050,4946330,08/25/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,GRAND,304050,4946330,08/25/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,GRAND,304050,4946330,08/25/1975,American Eel,visual observation,Natural Occurrence
Annapolis,GRAND,304050,4946330,08/25/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,GRAND,304050,4946330,08/25/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,GRAND,304050,4946330,08/25/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,JERRY,307500,4953790,07/19/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,JERRY,307500,4953790,07/19/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,JERRY,307500,4953790,07/19/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,JERRY,307500,4953790,07/19/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,JERRY,307500,4953790,07/19/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,351491,4942310,06/18/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,351491,4942310,06/18/1975,Yellow Perch,seine net,Natural Occurrence
Annapolis,LAKE PLEASANT,351491,4942310,06/18/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,351491,4942310,06/18/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LAKE PLEASANT,351491,4942310,06/18/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,LAKE PLEASANT,351491,4942310,06/18/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,LAMB,305937,4949020,01/01/2006,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,LAMB,305937,4949020,07/20/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,LAMB,305937,4949020,07/20/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,LAMB,305937,4949020,07/20/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,LAMB,305937,4949020,07/20/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LAMB,305937,4949020,07/20/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,LAMB,305937,4949020,07/20/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,LAROSE,306644,4953960,08/01/1968,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,LILY,432264,4942878,06/03/1975,Banded Killifish,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,309193,4939130,08/06/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,309193,4939130,08/06/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,309193,4939130,08/06/1975,Lake Whitefish,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,309193,4939130,08/06/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,309193,4939130,08/06/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,LIVERPOOL HEAD,309193,4939130,08/06/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,LOWER SIXTY,356211,4953816,10/24/2016,Brook Trout,unknown,Stocking Program
Annapolis,LOWER WRIGHTS,312666,4955230,07/17/1975,Atlantic Salmon,unknown,Natural Occurrence
Annapolis,LOWER WRIGHTS,312666,4955230,07/17/1975,American Eel,visual observation,Natural Occurrence
Annapolis,LOWER WRIGHTS,312666,4955230,07/17/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,LOWER WRIGHTS,312666,4955230,07/17/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,LOWER WRIGHTS,312666,4955230,07/17/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MCGILL,340834,4949990,01/01/2000,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,MCGILL,340834,4949990,07/04/1975,White Perch,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,340834,4949990,07/04/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,340834,4949990,07/04/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,340834,4949990,07/04/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,MCGILL,340834,4949990,07/04/1975,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,MILBURY,305813,4966650,07/19/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MILBURY,305813,4966650,07/19/1975,American Eel,100 ft gill net,Natural Occurrence
Annapolis,MILBURY,305813,4966650,07/19/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MILETREE,346380,4949880,06/24/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MILETREE,346380,4949880,06/24/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MILETREE,346380,4949880,06/24/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,MILETREE,346380,4949880,06/24/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MILL,330567,4927180,08/06/1990,White Perch,100 ft gill net,Natural Occurrence
Annapolis,MILL,330567,4927180,08/06/1990,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MILL,330567,4927180,08/06/1990,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MILL,330567,4927180,08/06/1990,American Eel,minnow pail,Natural Occurrence
Annapolis,MILL,330567,4927180,08/06/1990,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,White Perch,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,American Eel,visual observation,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,Lake Chub,seine net,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,Creek Chub,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,MUDFLAT,328982,4926540,08/01/1982,Banded Killifish,seine net,Natural Occurrence
Annapolis,MULGRAVE,302940,4931050,08/12/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,302940,4931050,08/12/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,302940,4931050,08/12/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,302940,4931050,08/12/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,MULGRAVE,302940,4931050,08/12/1975,Banded Killifish,seine net,Natural Occurrence
Annapolis,MUNROE,314752,4933270,07/30/1991,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,MUNROE,314752,4933270,07/30/1991,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,MUNROE,314752,4933270,07/30/1991,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,MUNROE,314752,4933270,07/30/1991,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PARADISE,328302,4959000,01/01/1989,Smallmouth Bass,unknown,Illegal Introduction
Annapolis,PARADISE,328302,4959000,08/16/1983,Yellow Perch,300 ft gill net,Natural Occurrence
Annapolis,PARADISE,328302,4959000,08/16/1983,Brown Bullhead,300 ft gill net,Natural Occurrence
Annapolis,PARADISE,328302,4959000,08/16/1983,American Eel,unknown,Natural Occurrence
Annapolis,PARADISE,328302,4959000,08/16/1983,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PARADISE,328302,4959000,08/16/1983,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,PARADISE,328302,4959000,08/16/1983,Banded Killifish,minnow pail,Natural Occurrence
Annapolis,PAT KEMPTON,326231,4922320,08/20/1974,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,PAT KEMPTON,326231,4922320,08/20/1974,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,PAT KEMPTON,326231,4922320,08/20/1974,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PERCH,332880,4929170,08/09/1982,White Perch,100 ft gill net,Natural Occurrence
Annapolis,PERCH,332880,4929170,08/09/1982,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,PERCH,332880,4929170,08/09/1982,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,PERCH,332880,4929170,08/09/1982,American Eel,visual observation,Natural Occurrence
Annapolis,PERCH,332880,4929170,08/09/1982,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PERCH,332880,4929170,08/09/1982,Golden Shiner,100 ft gill net,Natural Occurrence
Annapolis,PITTS,308964,4939950,08/15/1975,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,PITTS,308964,4939950,08/15/1975,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,PITTS,308964,4939950,08/15/1975,Brown Bullhead,100 ft gill net,Natural Occurrence
Annapolis,PITTS,308964,4939950,08/15/1975,Lake Whitefish,100 ft gill net,Natural Occurrence
Annapolis,PITTS,308964,4939950,08/15/1975,White Sucker,100 ft gill net,Natural Occurrence
Annapolis,PITTS,308964,4939950,08/15/1975,Golden Shiner,seine net,Natural Occurrence
Annapolis,PRETTY MARY,328235,4926280,08/01/1982,Brook Trout,100 ft gill net,Natural Occurrence
Annapolis,PRETTY MARY,328235,4926280,08/01/1982,Yellow Perch,100 ft gill net,Natural Occurrence
Annapolis,PRETTY MARY,328235,4926280,08/01/1982,Brown Bullhead,100 ft gill net,Natural Occurrence
