,river,g,mean_priority,metric,value,norm,score,goal
592,ST_.CROIX,27,0.28830717,P_Leach_avg,0.08756346,16.87379006,16.87379006,P_Leach_avg
593,ST_.CROIX,27,0.28830717,pesticide_avg,0.086072301,6.731057158,6.731057158,pesticide_avg
594,ST_.CROIX,27,0.28830717,pollution_avg,0,0,0,pollution_avg
617,EAST_INDIAN.RIVER,29,0.316791376,SARproportion,0,0,0,SARproportion
618,EAST_INDIAN.RIVER,29,0.316791376,detections,3,25,25,detections
619,EAST_INDIAN.RIVER,29,0.316791376,BoatLaunch,1,50,50,BoatLaunch
620,EAST_INDIAN.RIVER,29,0.316791376,EBSAproportion,2,40,40,EBSAproportion
621,EAST_INDIAN.RIVER,29,0.316791376,NSResproportion,0,0,0,NSResproportion
622,EAST_INDIAN.RIVER,29,0.316791376,nativeFish,13,61.9047619,61.9047619,nativeFish
623,EAST_INDIAN.RIVER,29,0.316791376,RecFishproportion,3,50,50,RecFishproportion
624,EAST_INDIAN.RIVER,29,0.316791376,NSParksproportion,9,31.03448276,31.03448276,NSParksproportion
625,EAST_INDIAN.RIVER,29,0.316791376,salmon_stat_avg,0,0,0,salmon_stat_avg
626,EAST_INDIAN.RIVER,29,0.316791376,habitat_suitability_avg,0.100364905,8.852131483,8.852131483,habitat_suitability_avg
627,EAST_INDIAN.RIVER,29,0.316791376,road_desnity_avg,2.228274632,56.5872777,56.5872777,road_desnity_avg
628,EAST_INDIAN.RIVER,29,0.316791376,Temp_Vel_avg,31.24379707,68.80413713,68.80413713,Temp_Vel_avg
629,EAST_INDIAN.RIVER,29,0.316791376,X_stream_avg,0.615490713,50.24338925,50.24338925,X_stream_avg
630,EAST_INDIAN.RIVER,29,0.316791376,AqBarrier_avg,0.035588828,6.599524785,6.599524785,AqBarrier_avg
631,EAST_INDIAN.RIVER,29,0.316791376,urban_land_avg,10.23432762,42.54133355,42.54133355,urban_land_avg
632,EAST_INDIAN.RIVER,29,0.316791376,clear_cut_avg,3.798443624,24.04098537,24.04098537,clear_cut_avg
633,EAST_INDIAN.RIVER,29,0.316791376,agri_avg,0.266122479,0.681897103,0.681897103,agri_avg
634,EAST_INDIAN.RIVER,29,0.316791376,Impv_avg,0.373374159,8.984018434,8.984018434,Impv_avg
635,EAST_INDIAN.RIVER,29,0.316791376,N_Leach_avg,0.191539785,0.57132581,0.57132581,N_Leach_avg
636,EAST_INDIAN.RIVER,29,0.316791376,P_Leach_avg,0.000159769,0.030788041,0.030788041,P_Leach_avg
637,EAST_INDIAN.RIVER,29,0.316791376,pesticide_avg,0,0,0,pesticide_avg
638,EAST_INDIAN.RIVER,29,0.316791376,pollution_avg,0,0,0,pollution_avg
309,RIVER_JOHN,15,0.361753195,SARproportion,0.048637757,4.881926125,4.881926125,SARproportion
310,RIVER_JOHN,15,0.361753195,detections,2,16.66666667,16.66666667,detections
311,RIVER_JOHN,15,0.361753195,BoatLaunch,0,0,0,BoatLaunch
